Wall time,Step,Value
1749033893.0715904,136700,1.0
1749033907.5188277,136800,1.0
1749033934.6244876,137000,1.0
1749033977.135464,137300,1.0
1749037183.6655145,137500,1.0
1749037197.7507114,137600,1.0
1749037311.3835495,138400,1.0
1749037396.3054953,139000,1.0
1749037425.3055239,139200,1.0
1749040692.7316751,140100,1.0
1749040707.645614,140200,1.0
1749040736.4476767,140400,1.0
1749040793.8403192,140800,1.0
1749040850.9517663,141200,1.0
1749040865.1989949,141300,1.0
1749040881.0653806,141400,1.0
1749040913.5932388,141600,1.0
1749040931.1706738,141700,1.0
1749040946.3752046,141800,1.0
1749040960.5472584,141900,1.0
1749041003.1552613,142200,1.0
1749041016.953885,142300,1.0
1749044204.9182355,142500,1.0
1749044260.7056909,142900,1.0
1749044330.3737695,143400,1.0
1749044342.4183044,143500,1.0
1749044395.9749825,143900,1.0
1749044453.7808547,144300,1.0
1749044467.8507383,144400,1.0
1749044496.8631945,144600,1.0
1749044511.1098447,144700,1.0
1749047852.1236525,145800,1.0
1749047880.7824006,146000,1.0
1749047909.2775185,146200,1.0
1749047936.1840868,146400,1.0
1749047978.34234,146700,1.0
1749048018.4845626,147000,1.0
1749048032.3069413,147100,1.0
1749048046.4017959,147200,1.0
1749051300.582149,147800,1.0
1749051315.7984939,147900,1.0
1749051330.2632706,148000,1.0
1749051344.955973,148100,1.0
1749051416.8450606,148600,1.0
1749051459.216435,148900,1.0
1749051473.5070617,149000,1.0
1749051501.0673218,149200,1.0
1749051586.865506,149800,1.0
1749054763.0817049,150000,1.0
1749054823.534975,150400,1.0
1749054866.6311784,150700,1.0
1749054923.8444314,151100,1.0
1749054938.6633587,151200,1.0
1749055012.6540153,151700,1.0
1749055026.9569929,151800,1.0
1749055056.1028209,152000,1.0
1749055084.2000933,152200,1.0
1749058301.7548237,152800,1.0
1749058329.2435074,153000,1.0
1749058344.1675577,153100,1.0
1749058358.3260102,153200,1.0
1749058431.3210092,153700,1.0
1749058489.1466734,154100,1.0
1749058517.1101842,154300,1.0
1749058534.6273496,154400,1.0
1749058551.4830368,154500,1.0
1749058581.462958,154700,1.0
1749058611.5488737,154900,1.0
1749061825.258107,155000,1.0
1749061883.2020748,155400,1.0
1749061942.0602515,155800,1.0
1749061984.9004438,156100,1.0
1749061998.6182394,156200,1.0
1749062108.451008,157000,1.0
1749062165.652929,157400,1.0
1749065319.2918723,157500,1.0
1749065348.1864169,157700,1.0
1749065362.1325874,157800,1.0
1749065403.598771,158100,1.0
1749065417.8400917,158200,1.0
1749065445.9422479,158400,1.0
1749065461.460944,158500,1.0
1749065476.34999,158600,1.0
1749065606.3163505,159500,1.0
1749065635.1348214,159700,1.0
1749065664.8159206,159900,1.0
1749068884.2748115,160100,1.0
1749068900.741345,160200,1.0
1749068915.7182856,160300,1.0
1749068930.0393891,160400,1.0
1749068960.3703542,160600,1.0
1749068989.7483778,160800,1.0
1749069048.475964,161200,1.0
1749069077.9112742,161400,1.0
1749069093.8149147,161500,1.0
1749069108.95818,161600,1.0
1749069123.2437193,161700,1.0
1749069152.9796937,161900,1.0
1749069167.0029023,162000,1.0
1749069181.588723,162100,1.0
1749069199.6287441,162200,1.0
1749069214.222978,162300,1.0
1749072443.0376203,162500,1.0
1749072457.758854,162600,1.0
1749072486.774213,162800,1.0
1749072528.9420671,163100,1.0
1749072543.568084,163200,1.0
1749072572.8864715,163400,1.0
1749072616.8388023,163700,1.0
1749072631.427345,163800,1.0
1749072675.2278442,164100,1.0
1749072689.281407,164200,1.0
1749072703.954594,164300,1.0
1749072732.5344448,164500,1.0
1749072762.1496675,164700,1.0
1749072777.2597313,164800,1.0
1749076017.9969137,165200,1.0
1749076073.5140588,165600,1.0
1749076087.1775775,165700,1.0
1749076159.674531,166200,1.0
1749076173.3583584,166300,1.0
1749076258.9348016,166900,1.0
1749076288.1019523,167100,1.0
1749076302.3244302,167200,1.0
1749076331.042058,167400,1.0
1749079488.4043438,167500,1.0
1749079502.3642645,167600,1.0
1749079546.8565822,167900,1.0
1749079618.5858521,168400,1.0
1749079647.0274174,168600,1.0
1749079673.812952,168800,1.0
1749079686.6804433,168900,1.0
1749079741.8077676,169300,1.0
1749083026.148163,170000,1.0
1749083125.4438639,170700,1.0
1749083281.5414827,171800,1.0
1749083296.0623524,171900,1.0
1749083311.132623,172000,1.0
1749083325.2878995,172100,1.0
1749083340.2022457,172200,1.0
1749086670.7153046,173200,1.0
1749086713.5995898,173500,1.0
1749086727.7175543,173600,1.0
1749086741.2914212,173700,1.0
1749086755.26006,173800,1.0
1749086769.7472732,173900,1.0
1749086783.944261,174000,1.0
1749086798.1590052,174100,1.0
1749086812.5978696,174200,1.0
1749086826.8634486,174300,1.0
1749086840.9212775,174400,1.0
1749086883.2190564,174700,1.0
1749086913.4676678,174900,1.0
1749090087.8537014,175000,1.0
1749090185.4020493,175700,1.0
1749090226.1327434,176000,1.0
1749090240.1894348,176100,1.0
1749090253.7656977,176200,1.0
1749090267.3182378,176300,1.0
1749090295.2678783,176500,1.0
1749090321.3706107,176700,1.0
1749090334.8420138,176800,1.0
1749090392.0082924,177200,1.0
1749090406.0404031,177300,1.0
1749090421.129705,177400,1.0
1749093602.8268661,177500,1.0
1749093645.2778966,177800,1.0
1749093672.1678154,178000,1.0
1749093700.5635207,178200,1.0
1749093715.418534,178300,1.0
1749093743.2756488,178500,1.0
1749093772.5006773,178700,1.0
1749093786.797819,178800,1.0
1749093815.2101247,179000,1.0
1749093842.2156534,179200,1.0
1749093875.5286202,179400,1.0
1749093890.522916,179500,1.0
1749093948.0398219,179900,1.0
1749097195.517103,180100,1.0
1749097224.8379745,180300,1.0
1749097316.9352243,180900,1.0
1749097346.0316157,181100,1.0
1749097360.5421736,181200,1.0
1749097387.9400084,181400,1.0
1749097416.4738443,181600,1.0
1749097430.2856226,181700,1.0
1749097471.6506953,182000,1.0
1749097500.926843,182200,1.0
1749097515.0609436,182300,1.0
1749097529.4748569,182400,1.0
1749100747.9998534,182600,1.0
1749100901.368535,183700,1.0
1749100958.1807165,184100,1.0
1749101013.39583,184500,1.0
1749101027.8459337,184600,1.0
1749101042.1702814,184700,1.0
1749104263.7483249,185000,1.0
1749104292.406834,185200,1.0
1749104405.3358061,186000,1.0
1749104419.5581827,186100,1.0
1749104434.1904137,186200,1.0
1749104475.667999,186500,1.0
1749104489.9883432,186600,1.0
1749104532.7307785,186900,1.0
1749104561.091705,187100,1.0
1749107860.8772717,187500,1.0
1749107875.73989,187600,1.0
1749107977.0138502,188300,1.0
1749108007.0007875,188500,1.0
1749108036.5530803,188700,1.0
1749108065.9230497,188900,1.0
1749108079.9271064,189000,1.0
1749108094.2276194,189100,1.0
1749108149.9734104,189500,1.0
1749111405.3652983,190000,1.0
1749111419.7668643,190100,1.0
1749111447.8666365,190300,1.0
1749111475.5118763,190500,1.0
1749111489.7562869,190600,1.0
1749111517.6297705,190800,1.0
1749111544.4028628,191000,1.0
1749111559.277471,191100,1.0
1749111602.3943148,191400,1.0
1749111646.4870892,191700,1.0
1749111691.9298744,192000,1.0
1749111706.6188567,192100,1.0
1749114940.091277,192500,1.0
1749114983.0134516,192800,1.0
1749115056.0839233,193300,1.0
1749115085.3506267,193500,1.0
1749115116.0018144,193700,1.0
1749115160.2650168,194000,1.0
1749115175.046473,194100,1.0
1749115188.6542752,194200,1.0
1749115202.8181183,194300,1.0
1749115217.370037,194400,1.0
1749118442.674197,195000,1.0
1749118515.86974,195500,1.0
1749118558.865421,195800,1.0
1749118615.9955237,196200,1.0
1749118643.8738818,196400,1.0
1749118740.8884296,197100,1.0
1749122041.6776335,197700,1.0
1749122089.1914575,198000,1.0
1749122118.5183544,198200,1.0
1749122176.965126,198600,1.0
1749122205.5656316,198800,1.0
1749122274.9624434,199300,1.0
1749122288.9066799,199400,1.0
1749122302.1718163,199500,1.0
1749125572.6535134,200300,1.0
1749125600.6683826,200500,1.0
1749125628.9867036,200700,1.0
1749125642.3994231,200800,1.0
1749125669.7441072,201000,1.0
1749125683.7520099,201100,1.0
1749125751.879024,201600,1.0
1749125766.183701,201700,1.0
1749125780.4888804,201800,1.0
1749129044.0012934,202500,1.0
1749129168.4139278,203400,1.0
1749129210.683397,203700,1.0
1749129252.9137652,204000,1.0
1749129267.2943485,204100,1.0
1749129382.1716082,204900,1.0
1749132553.9463725,205100,1.0
1749132600.5747108,205400,1.0
1749132614.6688328,205500,1.0
1749132643.4126058,205700,1.0
1749132716.982098,206200,1.0
1749132793.7424986,206700,1.0
1749132851.3344057,207100,1.0
1749132895.7471015,207400,1.0
1749136072.273907,207600,1.0
1749136115.814774,207900,1.0
1749136160.0309918,208200,1.0
1749136218.3854942,208600,1.0
1749136274.8955617,209000,1.0
1749136303.5596182,209200,1.0
1749136317.3473725,209300,1.0
1749136331.671147,209400,1.0
1749136346.2754958,209500,1.0
1749139653.6058655,210500,1.0
1749139695.4263597,210800,1.0
1749139710.151608,210900,1.0
1749139737.9662066,211100,1.0
1749139751.6397834,211200,1.0
1749139808.4389312,211600,1.0
1749139909.4742222,212300,1.0
1749143107.0540016,212500,1.0
1749143149.7626865,212800,1.0
1749143191.6094513,213100,1.0
1749143205.4225304,213200,1.0
1749143247.6441948,213500,1.0
1749143292.333685,213800,1.0
1749143336.6235936,214100,1.0
1749143378.5216498,214400,1.0
1749143407.9556973,214600,1.0
1749143421.9403145,214700,1.0
1749143436.4467263,214800,1.0
1749146631.5138624,215000,1.0
